model,downloads,likes,parameters
MIT/ast-finetuned-audioset-10-10-0.4593,442892649,211,86594063
MattyB95/AST-VoxCelebSpoof-Synthetic-Voice-Detection,1378854,3,86190338
superb/wav2vec2-base-superb-sid,263648,17,0
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,178093,24,315701634
anton-l/wav2vec2-random-tiny-classifier,117066,2,0
speechbrain/lang-id-voxlingua107-ecapa,115923,80,0
sanchit-gandhi/whisper-medium-fleurs-lang-id,105364,8,307504998
ehcalabres/wav2vec2-lg-xlsr-en-speech-emotion-recognition,103310,158,0
audeering/wav2vec2-large-robust-12-ft-emotion-msp-dim,65973,84,165336707
mispeech/ced-base,37652,6,85711887
xbgoose/hubert-large-speech-emotion-recognition-russian-dusha-finetuned,29123,9,315702405
SeyedAli/Musical-genres-Classification-Hubert-V1,23133,14,23691402
padmalcom/wav2vec2-large-nonverbalvocalization-classification,22073,5,0
audeering/wav2vec2-large-robust-24-ft-age-gender,20869,20,317542020
superb/hubert-base-superb-ks,18946,4,0
TalTechNLP/voxlingua107-epaca-tdnn,10483,26,0
m-a-p/MERT-v1-330M,9156,36,0
xmj2002/hubert-base-ch-speech-emotion-recognition,8308,25,0
dima806/bird_sounds_classification,7927,2,94581426
m-a-p/MERT-v1-95M,7635,18,0
superb/wav2vec2-base-superb-ks,6766,12,0
superb/wav2vec2-base-superb-er,6402,11,0
facebook/mms-lid-256,5586,6,966222720
3loi/SER-Odyssey-Baseline-WavLM-Multi-Attributes,5209,2,318607043
speechbrain/emotion-recognition-wav2vec2-IEMOCAP,4388,103,0
Lajavaness/wav2vec2-lg-xlsr-fr-speech-emotion-recognition,4317,6,315702405
facebook/mms-lid-4017,4228,4,970077745
MIT/ast-finetuned-speech-commands-v2,3905,11,85395491
jstoone/distil-ast-audioset-finetuned-cry,3703,0,43665413
anton-l/wav2vec2-base-lang-id,2161,7,0
facebook/mms-lid-126,1942,25,966089470
MIT/ast-finetuned-audioset-14-14-0.443,1938,2,86167823
speechbrain/spkrec-xvect-voxceleb,1912,40,0
audeering/wav2vec2-large-robust-6-ft-age-gender,1855,2,90809988
Aniemore/wav2vec2-xlsr-53-russian-emotion-recognition,1440,12,0
superb/hubert-large-superb-er,1140,18,0
superb/hubert-base-superb-er,960,16,0
harshit345/xlsr-wav2vec-speech-emotion-recognition,852,59,0
facebook/mms-lid-1024,807,7,967009920
Rajaram1996/Hubert_emotion,795,29,0
shhossain/whisper-tiny-bn-emo,732,1,8308743
anton-l/wav2vec2-base-superb-sv,701,3,0
ALM/wav2vec2-large-audioset,696,0,0
mispeech/ced-mini,666,1,9696783
Wiam/wav2vec2-lg-xlsr-en-speech-emotion-recognition-finetuned-ravdess-v8,648,3,0
MIT/ast-finetuned-audioset-16-16-0.442,640,1,86056463
superb/wav2vec2-large-superb-sid,632,1,0
HyperMoon/wav2vec2-base-960h-finetuned-deepfake,629,4,0
codewithRiz/deep_fake_model,628,0,94570375
Jzuluaga/accent-id-commonaccent_xlsr-en-english,615,7,0
hafidikhsan/Wav2vec2-large-robust-Pronounciation-Evaluation,584,5,0
mazkooleg/digit-mask-false-positive-cv12-wav2vec2-base-ft,580,0,0
mazkooleg/digit-mask-false-positive-cv12-wavlm-base-plus-ft,573,0,94579314
mazkooleg/digit-mask-false-positive-cv12-hubert-base-ls960-ft,566,0,94569090
mazkooleg/digit-mask-false-positive-cv12-unispeech-sat-base-ft,564,0,94569090
mazkooleg/digit-mask-false-positive-cv12-data2vec-audio-base-960h-ft,564,0,0
confit/ast-deit-base-t16-f16-384.in1k,560,0,0
anton-l/xtreme_s_xlsr_300m_minds14,556,2,0
facebook/mms-lid-512,521,2,966485120
helenai/MIT-ast-finetuned-speech-commands-v2-ov,519,0,0
Evan-Lin/ast-esc50,519,0,0
mispeech/ced-tiny,503,1,5503311
dima806/music_genres_classification,497,9,94571146
motheecreator/Deepfake-audio-detection,476,3,94569090
alexandreacff/wav2vec2-base-ft-fake-detection,464,1,94569090
abhishtagatya/hubert-base-960h-itw-deepfake,450,1,94569090
3loi/SER-Odyssey-Baseline-WavLM-Categorical,450,4,318612168
Roblox/voice-safety-classifier,444,8,94580342
somosnlp-hackathon-2022/wav2vec2-base-finetuned-sentiment-classification-MESD,429,7,94570118
pollner/distilhubert-finetuned-ravdess,429,2,0
Aniemore/wavlm-emotion-russian-resd,424,2,316509895
KELONMYOSA/wav2vec2-xls-r-300m-emotion-ru,397,1,0
superb/wav2vec2-base-superb-ic,391,0,0
amiriparian/ExHuBERT,391,5,0
antonjaragon/emotions_6_classes_small,389,2,94570118
ALM/wav2vec2-base-audioset,372,0,0
JohnJumon/fluency_accuracy,369,1,20722948
Jzuluaga/accent-id-commonaccent_ecapa,335,8,0
superb/wav2vec2-large-superb-ic,334,0,0
abhishtagatya/hubert-base-960h-asv19-deepfake,325,1,94569090
bookbot/distil-wav2vec2-adult-child-cls-37m,311,1,0
superb/hubert-base-superb-ic,290,0,0
MelodyMachine/Deepfake-audio-detection-V2,278,0,94569090
superb/wav2vec2-large-superb-er,277,1,0
superb/hubert-base-superb-sid,276,1,0
HyperMoon/wav2vec2-base-finetuned-deepfake-0919,276,0,0
arham061/distilhubert-finetuned-PASCAL_Dataset_Augmented,273,0,23690117
adhityamw11/ravdess_wav2vec2,267,0,94570632
CAiRE/SER-wav2vec2-large-xlsr-53-eng-zho-all-age,244,3,0
hts98/gender_classification,236,0,0
ylacombe/accent-classifier,223,2,965989020
ALM/hubert-large-audioset,221,0,0
sanchit-gandhi/whisper-small-ft-common-language-id,217,0,88362541
antonjaragon/emotions_xls53_6_classes,198,2,0
sanchit-gandhi/whisper-base-ft-common-language-id,193,3,20733485
gaunernst/vit_base_patch16_1024_128.audiomae_as2m_ft_as20k,185,2,0
speechbrain/emotion-diarization-wavlm-large,184,36,0
DavidCombei/wavLM-base-UTCN_114k,179,0,0
megathil/emotion_prediction,173,2,0
yangwang825/ssast-audioset-librispeech-16-16,171,1,0
